"","Mail","Gifts","CnGf_1_Amount","TestGroup1","Gender","St","Type","Class","Left","Middle","Right","Largest","Last","LGDate","FY13","FY14","Class1","FY1314","log13","log14","logLast","newdate","TG","TestGroup1B","TestGroup1C","TestGroup1D","Baselinell"
"89",1,1,25,"B",2,1,1,1970,100,75,50,41,25,537,20,25,45,500,3.04452243772342,3.25809653802148,3.25809653802148,16156,"B",1,0,0,-1.09362474715707
"90",1,1,100,"B",2,0,1,1972,450,300,150,22,100,543,100,100,43,10000,4.61512051684126,4.61512051684126,4.61512051684126,16150,"B",1,0,0,-1.09362474715707
"91",0,1,100,"A",1,1,1,1975,375,250,125,16,100,57,100,100,40,10000,4.61512051684126,4.61512051684126,4.61512051684126,16636,"A",0,0,0,-1.09362474715707
"92",0,1,100,"C",2,0,0,1996,175,150,125,14,100,8,0,100,19,0,0,4.61512051684126,4.61512051684126,16685,"C",0,1,0,-1.09362474715707
"93",0,1,250,"C",2,0,1,1969,375,325,250,40,250,355,250,250,46,62500,5.52545293913178,5.52545293913178,5.52545293913178,16338,"C",0,1,0,-1.09362474715707
"94",1,1,50,"B",2,0,1,1994,150,100,50,61,50,553,50,50,21,2500,3.93182563272433,3.93182563272433,3.93182563272433,16140,"B",1,0,0,-1.09362474715707
"95",1,1,75,"C",2,1,1,1998,150,125,100,9,75,145,0,0,17,0,0,0,4.33073334028633,16548,"C",0,1,0,-1.09362474715707
"96",0,0,0,"B",2,0,1,1998,1500,1000,500,62,500,494,500,0,17,0,6.21660610108486,0,6.21660610108486,16199,"B",1,0,0,-0.407968238326283
"97",1,1,50,"A",1,0,1,1979,275,175,100,82,50,156,50,50,36,2500,3.93182563272433,3.93182563272433,3.93182563272433,16537,"A",0,0,0,-1.09362474715707
"98",0,1,75,"B",2,0,1,1973,300,200,100,9,100,433,100,100,42,10000,4.61512051684126,4.61512051684126,4.61512051684126,16260,"B",1,0,0,-1.09362474715707
"99",0,1,100,"C",2,1,0,1985,150,125,100,9,100,154,100,100,30,10000,4.61512051684126,4.61512051684126,4.61512051684126,16539,"C",0,1,0,-1.09362474715707
"100",0,0,0,"A",2,0,0,1981,150,100,50,61,50,252,50,0,34,0,3.93182563272433,0,3.93182563272433,16441,"A",0,0,0,-0.407968238326283
"101",0,0,0,"C",2,1,1,1999,150,125,100,9,100,331,100,0,16,0,4.61512051684126,0,4.61512051684126,16362,"C",0,1,0,-0.407968238326283
"102",0,0,0,"C",2,0,0,1982,300,250,200,34,200,303,200,0,33,0,5.30330490805908,0,5.30330490805908,16390,"C",0,1,0,-0.407968238326283
